unitAvail,unitInspec,askIncome,callBack,finHelp,followUp,otherInspec,agentAge,auditorChild,auditorKid,auditorCouple,isQualified,agentBLK,agentFEM,auditID,pctBLK,houseVAL,officeBLK,inCity,sameAgent,race
1,0,0,0,0,0,1,35,0,0,1,0,0,1,52002632,3.6273685,64000,3.5699999,0,1,white
1,1,0,0,1,0,1,55,1,0,1,0,0,0,52002688,7.8600001,83500,2.8399999,1,1,white
0,0,1,1,0,0,1,60,1,0,1,0,0,0,52002712,3.6273685,76500,0.49000001,0,2,white
1,1,0,0,0,0,0,40,1,1,1,0,0,1,52001112,4.6007018,118450,0.56999999,0.57499999,1,white
1,1,0,1,1,0,0,40,1,1,1,0,0,1,52001168,0.49000001,161250,0.92000002,1,2,white
1,1,0,0,0,0,0,30,1,0,1,0,0,0,52001200,15.36,69250,0.80000001,1,1,white
1,1,0,0,1,0,0,35,1,0,1,0,0,1,52001260,1.36,153950,1.36,1,1,white
1,0,0,0,0,0,0,30,1,0,1,0,0,1,52001288,0.47999999,82450,3.5,1,1,white
1,1,0,0,1,1,1,55,1,0,1,0,0,0,52002488,0.029999999,180000,2.2193334,0,1,white
1,1,0,0,0,1,0,45,0,0,1,0,0,1,52002512,5.7199998,192500,5.7199998,1,1,white
1,1,0,0,1,1,1,36,1,0,1,0,0,1,52002552,1.48,142450,1.7,0,1,white
1,0,0,1,0,1,1,40,1,0,0,0,0,1,52001712,5.1914706,90000,1.36,1,0,white
1,1,0,1,1,0,1,39,1,0,1,0,0,1,52002008,3.6273685,102500,2.2193334,0,0,white
0,0,1,0,0,1,1,40,1,0,1,0,0,1,52002088,5.1914706,225000,1.73,1,0,white
1,0,0,1,1,0,0,47,1,1,1,1,0,1,52001020,0.94999999,122500,0.77999997,1,1,white
1,0,0,1,0,0,0,40,0,0,1,0,0,1,52001080,6.96,78500,1.7,0,1,white
1,1,0,1,0,0,0,50,0,0,1,0,0,1,52001088,3.6273685,162450,0.80000001,0,1,white
1,1,0,1,1,0,0,45,0,0,1,0,0,1,52001220,58.43,122000,3.46,1,1,white
1,1,0,1,0,0,0,48,1,1,1,0,0,1,52001300,4.1900001,138950,1.48,0,1,white
1,1,0,1,1,0,1,42,1,1,1,0,0,1,52001992,5.1914706,92500,3.29,1,1,white
1,1,0,1,0,0,1,49,1,1,1,0,0,1,52002000,1.71,170000,2.2193334,0,0,white
1,1,0,1,0,0,0,35,1,0,1,0,0,1,52002720,4.6007018,98500,2.99,0.57499999,1,white
1,1,0,1,0,0,1,35,1,1,1,0,0,1,52002808,9.9899998,77000,6.1700001,0,0,white
1,1,0,1,0,0,0,35,1,0,1,0,0,1,52002848,1.63,120000,4.8699999,0,1,white
1,0,0,1,1,0,0,38,0,0,1,0,0,1,52001040,4.5799999,60450,4.5799999,1,1,white
1,0,0,1,1,0,0,40,0,0,1,0,0,1,52001208,0.49000001,82450,0.77999997,1,0,white
1,1,0,0,1,0,0,40,0,0,1,0,0,0,52001240,0.07,138000,5.7199998,0,1,white
1,0,1,0,1,0,1,45,1,1,1,1,0,0,52002560,10.22,55250,2.9449413,0.57499999,1,white
1,1,1,1,1,0,1,40,1,1,1,0,1,0,52002568,5.1914706,74000,3.6665909,1,0,white
1,0,1,1,0,0,0,35,1,1,1,1,0,0,52002580,2.1300001,56950,2.1300001,0,1,white
1,0,1,0,1,0,1,49,1,1,1,0,0,1,52002640,0.059999999,120000,0.36000001,0.57499999,1,white
,0,1,1,1,0,1,40,1,1,1,0,0,1,52002760,0.36000001,120000,1.78,0,1,white
1,1,1,1,1,0,0,50,1,0,1,1,0,1,52003032,4.6007018,187500,2.1300001,0.57499999,1,white
1,1,1,1,1,0,1,50,1,0,1,0,0,1,52003040,1.7,64000,1.78,1,1,white
0,0,1,1,0,0,1,40,1,1,1,1,0,0,52003048,3.6273685,120500,0.92000002,0,1,white
1,1,1,1,1,1,1,45,0,0,1,1,0,1,52001152,0.68000001,91000,0.07,1,1,white
1,0,0,1,0,0,0,35,0,0,1,0,0,0,52001328,4.6007018,117500,3.96,0.57499999,1,white
1,0,1,1,1,0,1,35,1,1,1,0,0,1,52001720,5.1914706,135000,2.1300001,1,1,white
1,1,1,1,1,0,0,27,1,1,1,1,1,1,52001728,15.22,77450,1.78,0,0,white
1,1,1,0,1,0,1,50,1,0,1,0,0,1,52001768,1.36,170000,2.1300001,1,1,white
1,0,1,0,1,1,1,35,1,1,1,1,0,1,52002040,3.6273685,82450,0.07,0,0,white
1,0,1,1,1,0,1,45,1,1,1,1,0,1,52002048,3.6273685,117950,1.48,0,0,white
1,1,1,1,1,0,0,50,1,1,1,0,0,1,52002060,2.99,120750,0.69,1,0,white
1,1,0,0,1,0,0,52,0,0,1,0,0,1,52001100,1.21,186500,2.04,1,1,white
1,1,0,0,1,1,0,28,0,0,1,0,0,1,52001120,2.8099999,182250,0.77999997,1,1,white
1,0,0,0,1,1,0,35,0,0,1,1,0,1,52001248,3.6273685,61000,2.1300001,0,2,white
1,1,0,1,0,1,1,30,1,1,1,0,0,1,52001920,6.1700001,87000,1.48,0.57499999,1,white
1,1,1,1,0,0,1,50,1,1,1,1,0,0,52002608,0.36000001,175000,2.9449413,0.57499999,1,white
1,1,0,0,0,1,1,55,1,1,1,1,0,1,52002648,0.49000001,120000,1.36,1,1,white
1,0,0,0,0,0,0,32,1,1,1,0,0,1,52002680,8.4499998,122500,9.0299997,0,1,white
1,0,0,1,0,0,1,35,1,1,1,0,0,0,52001008,5.1914706,154500,3.96,1,1,white
1,1,0,1,0,0,0,40,1,1,1,0,0,0,52001140,5.1914706,162500,5.7199998,1,0,white
1,1,0,1,1,0,0,35,1,1,1,0,0,0,52001272,15.19,156250,0.69,1,2,white
1,1,0,1,1,1,1,35,0,0,1,0,0,1,52001840,1.13,172450,1.13,1,1,white
1,0,1,1,1,0,1,43,0,0,1,1,0,1,52001860,0.77999997,88250,0.77999997,1,1,white
1,1,0,1,1,0,1,50,0,0,1,0,0,1,52001980,0.69,156950,1.21,1,0,white
1,1,1,1,1,0,0,25,1,0,1,1,0,0,52002592,4.6007018,86950,3.29,0.57499999,1,white
