,date,adType,category,placement,keywords,body,ageMean,clickPerDollar
1,3/26/2013,Photo Post,High End,desktopfeed,#Lululemon Athletica,"Click """"Like"""" to become a fan of Retail Store X!",27,85.67280889
2,3/26/2013,Photo Post,High End,desktopfeed,#Lululemon Athletica,"Click """"Like"""" to become a fan of Retail Store X!",27,44.11201584
3,3/26/2013,Photo Post,General,mobile,#Lululemon Athletica,"Click """"Like"""" to become a fan of Retail Store X!",27,81.44891427
4,3/26/2013,Photo Post,Cosmetics,mobile,#Lucky Brand Jeans,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,49.54764877
5,3/26/2013,Photo Post,High End,desktopfeed,#Lucky Brand Jeans,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,16.78153626
6,3/26/2013,Photo Post,Retailer,mobile,#Lucky Brand Jeans,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,80.65948697
7,3/26/2013,Photo Post,Department,mobile,#Lucky Brand Jeans,Check out a sneak peak of what's new in our stores!,52,79.63421073
8,3/26/2013,Photo Post,Department,mobile,#Lucky Brand Jeans,Check out a sneak peak of what's new in our stores!,52,90.4244812
9,3/26/2013,Photo Post,Department,mobile,#Lucky Brand Jeans,Check out a sneak peak of what's new in our stores!,52,71.30215926
10,3/26/2013,Photo Post,Retailer,desktopfeed,#Lululemon Athletica,"Click """"Like"""" to become a fan of Retail Store X!",34.5,52.65312777
11,3/26/2013,Photo Post,Department,desktopfeed,#Lululemon Athletica,"Click """"Like"""" to become a fan of Retail Store X!",34.5,77.11451326
12,3/26/2013,Photo Post,Department,desktopfeed,#Lululemon Athletica,"Click """"Like"""" to become a fan of Retail Store X!",34.5,62.32638254
13,3/26/2013,Photo Post,Department,mobile,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,95.18669369
14,3/26/2013,Photo Post,Retailer,desktopfeed,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,82.21192596
15,3/26/2013,Photo Post,Retailer,mobile,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,101.7419063
16,3/26/2013,Photo Post,General,desktopfeed,#Shopping,"What's your favorite Spring fashion trend? """"Like"""" us and share!",27,35.05182582
17,3/26/2013,Photo Post,Retailer,mobile,#Shopping,"What's your favorite Spring fashion trend? """"Like"""" us and share!",27,45.9827663
18,3/26/2013,Photo Post,eCom,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Click """"Like"""" to see what's new in our stores for Spring!!",52,108.0816863
19,3/26/2013,Photo Post,High End,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics",Check out a sneak peak of what's new in our stores!,34.5,29.67273143
20,3/26/2013,Photo Post,High End,mobile,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",27,93.02135334
21,3/26/2013,Photo Post,Retailer,mobile,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",27,86.77211359
22,3/26/2013,Photo Post,High End,desktopfeed,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",27,54.63814619
